Reference,Pin,Signal,Net,X_mm,Y_mm
J6,1,VIN,ESP_VIN,12.22,42.3
J6,2,GND,GND,14.760000000000002,42.3
J6,3,GPIO13,NC,17.3,42.3
J6,4,GPIO12,NC,19.84,42.3
J6,5,GPIO14,GPIO14,22.380000000000003,42.3
J6,6,GPIO27,GPIO27,24.92,42.3
J6,7,GPIO26,GPIO26,27.46,42.3
J6,8,GPIO25,GPIO25,30.0,42.3
J6,9,GPIO33,GPIO33,32.54,42.3
J6,10,GPIO32,GPIO32,35.08,42.3
J6,11,GPIO35,NC,37.62,42.3
J6,12,GPIO34,NC,40.160000000000004,42.3
J6,13,GPIO39,NC,42.7,42.3
J6,14,GPIO36,NC,45.24,42.3
J6,15,EN,NC,47.78,42.3
J7,1,3V3,+3V3,12.22,67.7
J7,2,GND,GND,14.760000000000002,67.7
J7,3,GPIO15,NC,17.3,67.7
J7,4,GPIO2,NC,19.84,67.7
J7,5,GPIO4,NC,22.380000000000003,67.7
J7,6,GPIO16,GPIO16,24.92,67.7
J7,7,GPIO17,GPIO17,27.46,67.7
J7,8,GPIO5,GPIO5,30.0,67.7
J7,9,GPIO18,GPIO18,32.54,67.7
J7,10,GPIO19,GPIO19,35.08,67.7
J7,11,GPIO21,GPIO21,37.62,67.7
J7,12,GPIO3,NC,40.160000000000004,67.7
J7,13,GPIO1,NC,42.7,67.7
J7,14,GPIO22,GPIO22,45.24,67.7
J7,15,GPIO23,GPIO23,47.78,67.7
J1,1,+5V_IN,+5V_IN,125,59.0
J1,2,GND,GND,125,64.08
F1,1,1,+5V_IN,115,71
F1,2,2,+5V,120.08,71
JP1,1,5V,+5V,80,77.0
JP1,2,VIN,ESP_VIN,80,79.54
J2,1,SS,GPIO5,86.0,43
J2,2,SCK,RFID_SCK,88.54,43
J2,3,MOSI,RFID_MOSI,91.08,43
J2,4,MISO,GPIO19,93.62,43
J2,5,IRQ,NC,96.16,43
J2,6,GND,GND,98.7,43
J2,7,RST,GPIO27,101.24,43
J2,8,3V3,+3V3,103.78,43
J3,1,VSS,GND,87.0,87
J3,2,VDD,+5V,89.54,87
J3,3,VO,LCD_VO,92.08,87
J3,4,RS,LCD_RS_5V,94.62,87
J3,5,RW,GND,97.16,87
J3,6,E,LCD_E_5V,99.7,87
J3,7,D0,NC,102.24,87
J3,8,D1,NC,104.78,87
J3,9,D2,NC,107.32,87
J3,10,D3,NC,109.86,87
J3,11,D4,LCD_D4_5V,112.4,87
J3,12,D5,LCD_D5_5V,114.94,87
J3,13,D6,LCD_D6_5V,117.48,87
J3,14,D7,LCD_D7_5V,120.02000000000001,87
J3,15,A,LCD_A,122.56,87
J3,16,K,GND,125.1,87
J4,1,GREEN_A,GREEN_A,110.0,43
J4,2,GREEN_K,GND,112.54,43
J4,3,RED_A,RED_A,115.08,43
J4,4,RED_K,GND,117.62,43
J5,1,PLUS,+5V,124.0,43
J5,2,MINUS,BUZZ_NEG,126.54,43
U1,1,1OE,GND,87,55.0
U1,2,1A1,GPIO32,87,57.54
U1,3,2Y4,NC,87,60.08
U1,4,1A2,GPIO25,87,62.62
U1,5,2Y3,NC,87,65.16
U1,6,1A3,GPIO22,87,67.7
U1,7,2Y2,LCD_D7_5V,87,70.24
U1,8,1A4,GPIO21,87,72.78
U1,9,2Y1,LCD_D6_5V,87,75.32
U1,10,GND,GND,87,77.86
U1,11,2A1,GPIO16,94.62,77.86
U1,12,1Y4,LCD_D5_5V,94.62,75.32
U1,13,2A2,GPIO17,94.62,72.78
U1,14,1Y3,LCD_D4_5V,94.62,70.24
U1,15,2A3,GND,94.62,67.7
U1,16,1Y2,LCD_E_5V,94.62,65.16
U1,17,2A4,GND,94.62,62.62
U1,18,1Y1,LCD_RS_5V,94.62,60.08
U1,19,2OE,GND,94.62,57.54
U1,20,VCC,+5V,94.62,55.0
RN1,1,COMMON,GND,100,55.0
RN1,2,R1,GPIO32,100,57.54
RN1,3,R2,GPIO25,100,60.08
RN1,4,R3,GPIO22,100,62.62
RN1,5,R4,GPIO21,100,65.16
RN1,6,R5,GPIO16,100,67.7
RN1,7,R6,GPIO17,100,70.24
RN1,8,R7,NC,100,72.78
RN1,9,R8,NC,100,75.32
R1,1,1,GPIO26,106,50
R1,2,2,GREEN_A,106,57.62
R2,1,1,GPIO33,110,50
R2,2,2,RED_A,110,57.62
R3,1,1,GPIO14,112,62
R3,2,2,BUZZ_BASE,119.62,62
R4,1,1,BUZZ_BASE,112,68
R4,2,2,GND,119.62,68
R5,1,1,+5V,111,83
R5,2,2,LCD_A,118.62,83
R6,1,1,+3V3,39,82
R6,2,2,GPIO5,46.62,82
R7,1,1,GPIO18,20,82
R7,2,2,RFID_SCK,27.62,82
R8,1,1,GPIO23,8,82
R8,2,2,RFID_MOSI,15.620000000000001,82
Q1,1,C,BUZZ_NEG,115,53
Q1,2,B,BUZZ_BASE,117.54,53
Q1,3,E,GND,120.08,53
D1,1,K,+5V,113,48
D1,2,A,BUZZ_NEG,120.62,48
C1,1,+,+5V,123,81
C1,2,-,GND,126.5,81
C2,1,1,+5V,117,75
C2,2,2,GND,119.54,75
C3,1,1,+5V,94.62,51
C3,2,2,GND,97.16000000000001,51
C4,1,1,+3V3,88,50.5
C4,2,2,GND,90.54,50.5
C5,1,+,+3V3,94,47
C5,2,-,GND,96,47
C6,1,1,ESP_VIN,25,75
C6,2,2,GND,27.54,75
C7,1,+,+3V3,31,75
C7,2,-,GND,33,75
RV1,1,LOW,GND,102.46,79
RV1,2,WIPER,LCD_VO,105,81.54
RV1,3,HIGH,+5V,107.54,79
TP1,1,+5V,+5V,113,93
TP2,1,+3V3,+3V3,117,93
TP3,1,GND,GND,121,93
